CT-Ter-2,,CT-Ter-10,,CT-1,,CT-2,,CT-3,,CT-4,,CT-5,,CT-6,,CT-7,,CT-8.2,,CT-9,,CT-10,,CT-11,
Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error
7.36,0.35,8.89,0.77,8.24,0.83,7.5,0.43,300.4,13.2,6.03,0.61,7.0,0.4,5.1,0.47,7.0,0.5,7.75,0.47,8.01,0.55,8.07,0.57,7.82,0.62
7.36,0.92,8.91,1.39,8.27,0.5,7.56,0.53,300.4,9.3,6.04,0.75,7.0,0.4,5.12,0.37,7.0,0.8,7.79,0.32,8.07,0.6,8.14,0.68,7.85,0.39
7.48,0.96,9.0,1.18,8.33,0.55,7.58,0.28,300.4,11.7,6.05,0.55,7.0,0.6,5.13,0.38,7.0,0.5,7.8,0.53,8.1,0.46,8.21,0.44,7.86,0.45
7.5,0.63,9.1,1.1,8.33,0.73,7.61,0.71,300.5,11.0,6.06,0.59,7.0,0.4,5.15,0.54,7.0,0.7,7.84,0.46,8.17,0.33,8.22,0.4,7.88,0.54
7.53,0.67,9.14,0.84,8.36,0.73,7.61,0.63,300.6,15.7,6.13,0.84,7.0,0.8,5.16,0.57,7.0,0.7,7.89,0.25,8.22,0.5,8.23,0.43,7.88,0.29
7.56,0.48,9.14,1.89,8.44,0.73,7.62,0.5,300.7,13.9,6.14,0.54,7.0,0.5,5.16,0.6,7.0,0.7,7.89,0.4,8.23,0.46,8.29,0.36,7.89,0.54
7.58,0.6,9.17,0.88,8.51,0.6,7.65,0.46,300.9,12.9,6.26,0.59,7.1,0.6,5.19,0.47,7.1,0.8,7.92,0.48,8.26,0.51,8.3,0.36,7.89,0.4
7.61,1.0,9.31,0.74,8.55,0.69,7.66,0.46,301.0,11.8,6.29,0.43,7.1,0.4,5.19,0.26,7.1,0.4,7.92,0.7,8.39,0.29,8.32,0.27,7.9,0.35
7.61,0.78,9.34,1.01,8.56,0.41,7.7,0.5,301.2,6.9,6.43,0.46,7.1,0.5,5.2,0.46,7.1,0.5,7.94,0.31,8.46,0.52,8.37,0.48,7.92,0.33
7.63,0.26,9.41,1.14,8.62,0.68,7.72,0.77,301.3,10.3,6.49,0.64,7.1,1.1,5.21,0.54,7.1,0.3,7.96,0.29,8.47,0.36,8.39,0.43,7.92,0.52
7.63,0.2,9.46,0.97,8.62,0.97,7.73,0.6,301.6,8.8,6.51,0.6,7.1,0.6,5.22,0.33,7.1,0.6,7.98,0.65,8.48,0.42,8.48,0.85,7.95,0.42
7.66,0.49,9.5,0.57,8.67,0.78,7.76,0.48,301.6,12.5,6.52,0.61,7.2,0.9,5.27,0.87,7.1,0.6,8.0,0.57,8.51,0.44,8.52,0.41,8.01,0.46
7.66,0.75,9.53,0.97,8.68,0.43,7.79,0.49,301.7,9.9,6.56,0.6,7.2,0.5,5.28,0.43,7.1,0.4,8.03,0.38,8.56,0.69,8.53,0.44,8.02,0.45
7.67,0.32,9.57,0.67,8.79,0.78,7.79,0.81,302.0,11.0,6.61,0.78,7.2,0.6,5.31,0.37,7.1,0.6,8.05,0.49,8.57,0.62,8.56,0.88,8.03,0.86
7.67,0.55,9.6,0.87,8.79,0.97,7.86,0.5,302.0,14.1,6.64,0.65,7.2,0.3,5.33,0.43,7.1,0.4,8.16,0.65,8.59,0.69,8.59,0.73,8.07,0.44
7.69,0.39,9.62,1.11,8.87,0.88,7.87,0.55,302.2,10.0,6.65,0.74,7.2,0.4,5.37,0.71,7.2,0.6,8.21,0.28,8.66,0.49,8.64,0.51,8.09,0.43
7.69,0.74,9.65,1.13,8.88,0.91,7.9,0.53,302.3,10.8,6.66,0.51,7.2,0.5,5.39,0.41,7.2,0.6,8.24,0.24,8.69,0.61,8.72,0.4,8.14,0.68
7.7,0.5,9.66,0.75,8.89,0.92,7.92,0.71,302.4,12.7,6.73,0.37,7.2,0.3,5.41,0.59,7.2,0.8,8.3,0.47,8.95,0.7,8.91,0.38,8.16,0.45
7.71,0.72,9.69,1.46,8.93,0.65,7.92,0.59,302.5,12.5,6.78,0.55,7.3,0.6,5.42,0.37,7.2,0.5,8.36,0.31,9.02,0.5,8.98,0.31,8.19,0.39
7.73,0.79,9.71,0.84,8.97,0.63,7.93,0.94,302.6,11.1,6.83,0.92,7.4,0.4,5.43,0.87,7.2,0.5,8.36,0.59,9.04,0.56,9.21,0.34,8.3,0.55
7.79,0.86,9.73,0.67,9.0,0.99,7.94,0.75,302.6,12.0,6.84,0.78,7.4,0.9,5.5,0.6,7.2,0.8,8.38,0.61,9.23,0.66,9.23,0.57,8.31,0.69
7.83,0.62,9.93,1.72,9.04,0.64,7.97,0.53,302.6,13.6,6.86,0.62,7.4,0.4,5.54,0.7,7.2,0.3,8.38,0.96,9.25,0.65,9.28,0.42,8.33,0.52
7.85,0.55,10.0,0.5,9.08,0.39,7.98,0.49,302.7,12.6,6.87,0.46,7.5,0.3,5.57,0.45,7.2,0.4,8.42,0.51,9.32,0.65,9.34,0.91,8.33,0.55
7.89,0.43,10.0,1.0,9.08,0.99,7.99,0.78,302.7,10.2,6.89,0.71,7.6,0.5,5.58,0.41,7.2,0.6,8.42,0.21,9.34,0.62,9.34,0.39,8.49,0.64
7.9,0.45,10.2,1.5,9.12,0.9,8.01,0.57,302.9,9.5,6.92,0.6,7.6,0.7,5.63,0.5,7.3,0.3,8.43,0.49,9.39,0.69,9.36,0.58,8.53,0.65
7.91,0.78,10.2,0.8,9.41,0.53,8.03,0.7,303.0,8.3,6.94,0.71,7.6,0.8,5.74,0.47,7.3,0.8,8.5,0.38,9.44,1.02,9.4,0.74,8.53,0.5
7.91,0.76,10.6,0.7,9.55,0.83,8.03,0.62,303.0,12.2,6.98,0.87,7.7,0.6,5.92,0.56,7.3,0.6,8.5,0.35,9.44,0.83,9.46,0.79,8.54,0.43
7.98,0.72,10.8,1.8,9.62,0.64,8.04,0.49,303.1,8.1,6.98,0.46,7.7,0.7,5.94,0.37,7.3,0.8,8.53,0.4,9.48,0.45,9.46,0.45,8.56,0.45
7.98,0.56,11.1,1.1,9.72,0.54,8.06,0.76,303.2,16.0,7.03,0.45,7.7,0.5,6.12,0.45,7.3,0.5,8.54,0.44,9.49,0.43,9.47,0.78,8.56,0.47
8.02,0.69,11.2,1.3,9.73,0.56,8.07,0.72,303.3,10.2,7.06,0.56,7.8,1.3,6.19,0.85,7.3,0.5,8.59,0.49,9.5,0.37,9.59,0.41,8.58,0.53
8.03,0.71,11.3,1.2,9.83,0.83,8.07,0.95,303.3,12.8,7.06,0.46,7.8,0.4,6.37,1.87,7.3,0.8,8.6,0.64,9.56,0.32,9.59,0.77,8.59,0.38
8.04,0.84,11.4,1.7,9.83,0.83,8.08,0.93,303.3,9.9,7.12,0.89,7.9,1.3,6.43,0.58,7.4,0.6,8.61,0.28,9.58,0.37,9.62,0.89,8.62,0.64
8.08,0.52,11.6,1.2,9.83,0.49,8.13,0.84,303.4,12.9,7.13,1.17,8.0,0.8,6.45,0.62,7.4,0.4,8.63,0.4,9.59,0.49,9.64,0.31,8.67,0.37
8.09,0.9,12.0,1.3,9.89,0.54,8.13,0.32,303.4,11.6,7.15,0.49,8.0,0.6,6.49,0.41,7.4,0.7,8.63,0.24,9.65,0.5,9.64,0.38,8.72,0.8
8.1,0.84,12.0,0.9,9.94,1.01,8.14,0.81,303.5,8.3,7.15,1.27,8.1,0.6,7.0,0.39,7.4,0.6,8.64,0.26,9.66,0.61,9.65,0.92,8.73,0.49
8.11,1.1,12.4,1.9,10.1,0.7,8.17,0.56,303.5,6.8,7.16,0.56,8.3,0.8,7.03,0.6,7.4,0.6,8.66,0.77,9.67,0.62,9.68,0.66,8.91,0.45
8.13,0.78,12.4,0.7,10.1,0.6,8.18,0.66,303.5,10.3,7.2,0.67,8.6,0.9,7.06,0.63,7.4,0.5,8.72,0.46,9.67,0.48,9.69,0.51,8.92,0.6
8.14,0.65,12.6,1.5,10.5,0.8,8.21,0.48,303.7,10.4,7.24,0.42,8.6,1.3,7.08,0.34,7.4,0.5,8.74,0.57,9.7,0.81,9.7,0.87,8.93,0.82
8.17,0.75,12.7,1.0,10.5,1.0,8.23,0.48,303.9,9.8,7.26,0.69,8.6,1.1,7.14,0.55,7.4,0.5,8.76,0.54,9.71,0.54,9.73,0.79,8.97,0.71
8.28,0.9,12.9,1.6,10.5,1.2,8.32,0.91,304.0,8.6,7.27,0.7,8.7,0.7,7.16,0.97,7.4,0.7,8.84,0.55,9.71,0.68,9.76,0.61,8.99,0.49
8.3,0.63,13.1,1.4,10.7,1.1,8.35,0.93,304.2,14.4,7.32,0.81,8.8,1.0,7.18,0.5,7.4,0.3,8.9,0.82,9.72,0.55,9.76,0.71,9.06,0.36
8.37,0.86,13.1,0.7,10.7,0.7,8.37,0.65,304.4,9.7,7.32,0.68,9.0,1.0,7.21,0.45,7.4,0.7,9.04,0.62,9.72,0.73,9.77,0.33,9.09,0.9
8.67,0.76,13.7,1.6,11.3,0.7,8.42,0.85,304.5,13.1,7.33,0.41,9.0,0.8,7.24,0.93,7.5,0.7,9.2,0.55,9.74,0.81,9.77,0.53,9.12,0.57
8.7,0.56,14.1,1.5,17.2,0.9,8.47,0.69,304.6,9.9,7.34,0.7,9.0,0.9,7.3,0.36,7.5,0.5,9.25,0.61,9.74,0.7,9.77,0.73,9.19,0.53
8.86,0.63,14.1,1.6,17.6,0.7,8.48,0.45,304.7,10.2,7.36,0.79,9.0,0.5,7.31,0.46,7.5,0.5,9.26,0.36,9.74,0.81,9.78,0.6,9.21,0.52
8.88,1.03,14.2,2.2,17.8,1.0,8.49,1.01,304.8,15.0,7.37,0.71,9.1,1.2,7.32,0.65,7.5,0.4,9.29,0.82,9.78,0.63,9.96,0.77,9.26,0.61
